id_x,type_x,name,latitude_deg,longitude_deg,id_y,airport_ref_x,length_ft,width_ft,surface,airport_ref_y,type_y,frequency_mhz
41087,small_airport,Navan Bearbrook Airport,45.39166641235352,-75.29694366455078,310245,41087,2800.0,50.0,"Turf, soft during spring thaw",41087,UNIC,123.2
45216,small_airport,Voisey's Bay,56.344722222200005,-62.08805555560001,264036,45216,5002.0,100.0,Gravel,45216,MF,123.2
41098,small_airport,Pontiac Airpark,45.529726422799996,-76.16735458370002,271075,41098,1678.0,50.0,Stone Dust,41098,ATF,123.2
41098,small_airport,Pontiac Airpark,45.529726422799996,-76.16735458370002,271075,41098,1678.0,50.0,Stone Dust,41098,VFR Advisory,127.7
41098,small_airport,Pontiac Airpark,45.529726422799996,-76.16735458370002,271074,41098,3246.0,65.0,Stone Dust,41098,ATF,123.2
41098,small_airport,Pontiac Airpark,45.529726422799996,-76.16735458370002,271074,41098,3246.0,65.0,Stone Dust,41098,VFR Advisory,127.7
44455,small_airport,Hawke Field,44.000000094499995,-78.6488002539,271021,44455,3300.0,,TURF,44455,CTAF,122.775
45043,small_airport,Tottenham/Ronan Aerodrome,44.042100519899996,-79.84668016430001,271071,45043,2033.0,120.0,turf,45043,CTAF,123.2
40039,small_airport,Upper Kent Airport,46.587133,-67.719555,299262,40039,1400.0,70.0,TURF,40039,CTAF,122.8
46495,small_airport,Port Hope (Peter's Field) Airport,44.024881,-78.426976,271023,46495,2200.0,120.0,Turf,46495,CTAF,123.2
46495,small_airport,Port Hope (Peter's Field) Airport,44.024881,-78.426976,271024,46495,3200.0,120.0,Turf,46495,CTAF,123.2
46580,small_airport,Beaverton Airport,44.4470778865,-79.09907341,271068,46580,2480.0,75.0,TURF,46580,ATF,122.8
46642,small_airport,Baker's Valley,44.7546573859,-76.92901611330002,311012,46642,2000.0,22.0,ASP,46642,CTAF,122.8
298348,small_airport,L'Île d'Entrée Airfield,47.276200967600005,-61.7128658295,298416,298348,1200.0,20.0,Gravel,298348,RDO,123.15
298348,small_airport,L'Île d'Entrée Airfield,47.276200967600005,-61.7128658295,298417,298348,800.0,20.0,Gravel,298348,RDO,123.15
298393,seaplane_base,Saint-François-de-Laval (Laval Aviation),45.693126079399995,-73.58091115949999,299847,298393,4000.0,25.0,asphalt/gravel,298393,CTAF,123.2
299272,small_airport,Vulcan / Kirkcaldy Airport,50.331944,-113.357778,299274,299272,3187.0,150.0,ASP,299272,CTAF,122.8
299272,small_airport,Vulcan / Kirkcaldy Airport,50.331944,-113.357778,299276,299272,2998.0,150.0,ASP,299272,CTAF,122.8
299272,small_airport,Vulcan / Kirkcaldy Airport,50.331944,-113.357778,299275,299272,3076.0,150.0,GVL,299272,CTAF,122.8
300400,small_airport,Farrow's Field,44.4393568122,-80.9398841858,300402,300400,3000.0,75.0,Grass,300400,CTAF,123.0
307238,small_airport,Warren Field,42.936718,-81.479738,320037,307238,2192.0,80.0,TURF,307238,ATF,123.2
309767,small_airport,Varys field,44.5897948166,-80.76384544369998,309843,309767,1000.0,50.0,"dirt, No winter maint.",309767,CTAF,123.0
309272,small_airport,Rivière-aux-Saumons Aerodrome (Private Operator: Safari Anticosti),49.401389,-62.295278,309275,309272,5384.0,80.0,Gravel,309272,UNICOM,122.9
309273,small_airport,Rivière Bell Airport,49.078889000000004,-62.236943999999994,309274,309273,5528.0,80.0,Gravel,309273,UNICOM,122.9
311164,seaplane_base,"Lac William, Piste de glace (hiver seulement)",46.1256599864,-71.5747269101,311167,311164,3000.0,70.0,Ice,311164,CTAF,123.2
